Date,AAPL,AMZN,DELL,GOOGL,MSFT,TSLA
2020-01-02,73.34793853759766,94.90049743652344,25.43775749206543,68.43399810791016,155.4220733642578,28.68400001525879
2020-01-03,72.63484191894531,93.74849700927734,24.60102081298828,68.07599639892578,153.48675537109375,29.534000396728516
2020-01-06,73.213623046875,95.14399719238281,24.84912109375,69.8905029296875,153.88351440429688,30.1026668548584
2020-01-07,72.86929321289062,95.34300231933594,24.226430892944336,69.75550079345703,152.48040771484375,31.270666122436523
2020-01-08,74.04149627685547,94.59850311279297,24.323728561401367,70.25199890136719,154.9092254638672,32.80933380126953
2020-01-09,75.61417388916016,95.05249786376953,24.138866424560547,70.989501953125,156.844482421875,32.089332580566406
2020-01-10,75.7851333618164,94.15799713134766,24.085355758666992,71.447998046875,156.11875915527344,31.876667022705078
2020-01-13,77.40422058105469,94.56500244140625,24.241025924682617,72.00150299072266,157.9959716796875,34.990665435791016
2020-01-14,76.35902404785156,93.47200012207031,24.74209976196289,71.52950286865234,156.8831787109375,35.861331939697266
2020-01-15,76.03177642822266,93.10099792480469,24.61561393737793,71.95999908447266,157.89920043945312,34.56666564941406
2020-01-16,76.98419952392578,93.89700317382812,24.97560691833496,72.50800323486328,160.7924346923828,34.232666015625
2020-01-17,77.83649444580078,93.23600006103516,24.4891300201416,73.97599792480469,161.69235229492188,34.03333282470703
2020-01-21,77.30899047851562,94.5999984741211,23.978334426879883,74.11250305175781,161.11172485351562,36.47999954223633
2020-01-22,77.58494567871094,94.37300109863281,24.29454231262207,74.19349670410156,160.33766174316406,37.97066879272461
2020-01-23,77.9585952758789,94.22899627685547,24.50372314453125,74.2344970703125,161.3246307373047,38.14666748046875
2020-01-24,77.73391723632812,93.08200073242188,24.313997268676758,73.30850219726562,159.69898986816406,37.654666900634766
2020-01-27,75.44812774658203,91.41699981689453,23.423751831054688,71.58650207519531,157.02830505371094,37.201332092285156
2020-01-28,77.58251190185547,92.6624984741211,23.681583404541016,72.5250015258789,160.1054229736328,37.793331146240234
2020-01-29,79.20649719238281,92.9000015258789,23.81293296813965,72.83499908447266,162.60191345214844,38.732666015625
2020-01-30,79.09171295166016,93.53399658203125,24.02211570739746,72.7125015258789,167.1885223388672,42.72066879272461
2020-01-31,75.58488464355469,100.43599700927734,23.725364685058594,71.63899993896484,164.72103881835938,43.371334075927734
2020-02-03,75.3772964477539,100.20999908447266,23.92481803894043,74.12999725341797,168.7367706298828,52.0
